                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 2.2123,                 2.5248,                  2.061,                 0.0972,                0.16876,                 0.0735,                0.02978,                 2.1682,                  2.637,                  2.084,              0.0011968,              0.0011968,              0.0011968
                     45,                 2.1653,                  2.413,                 1.9969,                0.36424,                0.14746,                0.07165,                0.03003,                 2.1296,                 3.0947,                 2.0585,              0.0011955,              0.0011955,              0.0011955
                     46,                 2.0888,                 2.4147,                 2.0254,                0.37569,                  0.131,                0.08269,                0.03444,                 2.1039,                   2.55,                 2.0225,              0.0011943,              0.0011943,              0.0011943
                     47,                 2.0798,                  2.312,                 1.9228,                0.36735,                 0.1319,                0.07719,                 0.0329,                 2.0422,                  2.609,                 2.0043,              0.0011931,              0.0011931,              0.0011931
                     48,                 2.0964,                  2.358,                 1.9554,                0.17851,                0.13801,                0.08982,                0.04148,                 2.0368,                 2.5442,                 1.9954,              0.0011918,              0.0011918,              0.0011918
                     49,                 2.0604,                 2.3854,                  1.938,                0.12228,                0.13354,                0.09323,                0.04223,                 1.9821,                 2.4595,                 1.9384,              0.0011906,              0.0011906,              0.0011906
                     50,                 2.0973,                 2.4095,                 1.9627,                0.10357,                0.12297,                0.07898,                0.03585,                 2.0421,                 2.6284,                 2.0126,              0.0011894,              0.0011894,              0.0011894
                     51,                 2.0572,                 2.3137,                 1.9366,                 0.3769,                0.16081,                0.10763,                0.04915,                 1.9051,                 2.3131,                 1.9047,              0.0011881,              0.0011881,              0.0011881
                     52,                 1.9928,                 2.2709,                 1.8771,                0.12268,                0.11876,                0.08239,                0.03809,                 2.0432,                 2.4776,                 1.9876,              0.0011869,              0.0011869,              0.0011869
                     53,                 2.0046,                 2.3098,                  1.904,                0.40726,                0.13303,                0.09821,                0.04795,                 1.9449,                 2.6485,                 1.9358,              0.0011856,              0.0011856,              0.0011856
                     54,                 1.9747,                 2.2963,                 1.8767,                0.13583,                0.15242,                0.09718,                0.04276,                 2.0067,                  2.373,                 1.9526,              0.0011844,              0.0011844,              0.0011844
                     55,                 2.0149,                 2.2499,                 1.8974,                0.15965,                  0.152,                0.11852,                0.05734,                 1.8738,                 2.2158,                 1.8719,              0.0011832,              0.0011832,              0.0011832
                     56,                 2.0117,                 2.2369,                 1.8914,                0.14292,                0.16129,                0.10944,                0.04696,                  1.997,                 2.3533,                 1.9216,              0.0011819,              0.0011819,              0.0011819
                     57,                  1.995,                 2.2435,                 1.8742,                0.13122,                0.12957,                0.09114,                 0.0422,                 1.9044,                 2.3471,                  1.892,              0.0011807,              0.0011807,              0.0011807
                     58,                 2.0073,                 2.2231,                  1.859,                0.41969,                0.13632,                0.12007,                0.05409,                 2.0012,                 2.2605,                 1.9505,              0.0011795,              0.0011795,              0.0011795
                     59,                 1.9852,                 2.2161,                 1.8126,                0.39014,                0.17786,                0.10092,                 0.0445,                 2.0019,                 2.3609,                 1.9074,              0.0011782,              0.0011782,              0.0011782
